id,str
4569,[135,156,343]
4570,[172,206,283]
4571,[130,230,283]
4572,[137,171,286]
4573,[125,235,343]
4574,[125,137,303]
4575,[130,172,334]
4576,[172,230,283]
4577,[130,172,303]
4578,[130,131,343]
4579,[137,233,283]
4580,[137,173,337]
4581,[130,172,294]
4582,[137,206,283]
4583,[130,172,283]
4584,[146,156,303]
4585,[135,146,343]
4586,[146,236,343]
4587,[127,131,343]
4588,[131,231,294]
4589,[172,180,283]
4590,[131,156,283]
4591,[131,135,283]
4592,[127,135,334]
4593,[146,156,283]
4594,[228,236,294]
4595,[127,130,334]
4596,[156,334]
4597,[127,146,337]
4598,[137,146,283]
4599,[135,146,283]
4600,[130,334]
4601,[146,231,334]
4602,[191,254,284]
4603,[139,182,343]
4604,[172,236,343]
4605,[182,233,283]
4606,[135,182,343]
4607,[156,236,343]
4608,[182,252,343]
4609,[182,228,343]
4610,[140,182,343]
4611,[135,236,343]
4614,[126,141,303]
4615,[144,175,343]
4616,[126,144,343]
4617,[144,172,343]
4618,[144,230,283]
4619,[125,173,343]
4620,[141,146,343]
4621,[146,172,343]
4622,[146,228,303]
4623,[205,265,359]
4624,[132,334]
4625,[130,132,337]
4626,[130,132,343]
4627,[131,230,334]
4628,[146,212,294]
4629,[137,236,294]
4630,[137,228,294]
4634,[146,233,283]
4635,[176,212,283]
4636,[137,176,343]
4637,[137,146,294]
4638,[192,222,372]
4639,[177,193,265,360]
4640,[288]
4641,[357]
4642,[170,177,359]
4643,[199,233,333]
4644,[137,172,333]
4645,[126,130,333]
4646,[126,172,343]
4647,[175,233,334]
4648,[228,233,283]
4649,[130,228,294]
4650,[172,228,343]
4651,[137,233,343]
4652,[137,343]
4653,[137,343]
4654,[174,370]
4655,[170,193,205,377]
4656,[301]
4657,[301]
4658,[301]
4659,[301]
4660,[301]
4661,[301]
4662,[301]
4663,[132,133,343]
4664,[301]
4665,[301]
4666,[301]
4667,[124,170,366]
4668,[123,366]
4669,[124,299]
4670,[361]
4671,[379]
4672,[288]
4673,[274]
4674,[361]
4675,[288]
4676,[357]
4677,[123,359]
4678,[123,296]
4679,[124,359]
4680,[124,296]
4681,[126,137,343]
4682,[173,176,343]
4683,[125,141,343]
4684,[301]
4685,[301]
4690,[204,285]
4691,[169,358]
4692,[130,236,283]
4693,[156,182,294]
4694,[142,182,283]
4695,[125,333]
4696,[137,173,343]
4697,[127,343]
4698,[118,142,343]
4699,[127,180,343]
4700,[127,199,343]
4701,[127,343]
4702,[142,343]
4703,[304]
4704,[304]
4705,[361]
4706,[361]
4707,[170,299]
4708,[198,201,279]
4709,[130,135,334]
4710,[130,171,334]
4711,[145,173,343]
4712,[135,173,343]
4713,[127,173,283]
4714,[173,176,283]
4715,[173,231,294]
4716,[156,173,283]
4717,[137,173,294]
4718,[127,173,343]
4719,[156,173,343]
4720,[172,173,343]
4721,[173,228,343]
4722,[137,172,343]
4774,[126,130,334]
4724,[131,133,337]
4725,[177,281]
4726,[266,370]
4727,[179,289]
4728,[122,181,274]
4729,[126,176,343]
4730,[172,176,343]
4731,[125,176,343]
4732,[152,228,343]
4733,[156,176,343]
4734,[127,176,343]
4735,[152,156,343]
4736,[176,228,343]
4737,[130,152,294]
4739,[130,137,334]
4740,[137,152,283]
4741,[176,235,294]
4742,[173,176,294]
4743,[126,132,343]
4744,[139,228,343]
4745,[156,176,303]
4746,[130,233,283]
4747,[125,141,294]
4748,[127,176,283]
4749,[152,228,294]
4750,[176,231,283]
4751,[135,176,283]
4752,[176,294]
4753,[137,176,283]
4754,[176,235,343]
4755,[135,176,294]
4756,[156,176,283]
4757,[127,135,334]
4758,[127,171,334]
4759,[121,186,345]
4760,[121,303]
4762,[303]
4764,[121,213,363]
4765,[121,136,274]
4766,[117,120,345]
4767,[48,120,345]
4768,[121,184,345]
4769,[121,136,357]
4770,[238,258,363]
4771,[120,134,274]
4772,[120,207,363]
4773,[120,134,357]
4774,[126,130,334]
4775,[135,176,343]
4776,[176,231,294]
4777,[137,303]
4778,[238,259,363]
4779,[202,257,363]
4780,[133,230,343]
4781,[130,133,303]
4782,[137,176,294]
4783,[137,176,283]
4784,[156,235,343]
4785,[127,235,343]
4786,[137,156,343]
4787,[130,133,334]
4788,[130,283]
4789,[126,130,283]
4790,[146,173,343]
4791,[141,146,294]
4792,[172,228,283]
4793,[172,233,283]
4794,[137,172,343]
4795,[126,145,343]
4796,[145,172,283]
4797,[126,146,283]
4798,[172,252,343]
4799,[172,199,343]
4800,[172,343]
4801,[139,343]
4802,[199,252,343]
4803,[172,343]
4808,[156,171,343]
4809,[130,171,343]
4810,[152,171,343]
4811,[171,175,343]
4812,[303]
4813,[303]
4814,[172,231,283]
4815,[120,303]
4817,[130,343]
4818,[303]
4819,[303]
4820,[138,176,283]
4821,[144,231,294]
4822,[135,144,343]
4823,[127,144,283]
4824,[144,156,283]
4825,[135,144,294]
4826,[130,144,283]
4827,[126,233,283]
4828,[132,144,343]
4830,[156,199,343]
4831,[126,152,294]
4832,[137,138,343]
4833,[137,303]
4834,[126,131,343]
4835,[126,127,333]
4836,[131,180,333]
4837,[130,343]
4838,[127,206,294]
4839,[127,343]
4840,[127,233,294]
